gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,PaperlessBilling,MonthlyCharges,Churn
Male,No,No,No,11,DSL,No,Yes,No,Yes,No,Yes,35.65,No
Male,No,No,Yes,1,Fiber optic,No,No,Yes,No,Yes,Yes,99.75,Yes
Female,Yes,Yes,No,55,Fiber optic,No,Yes,Yes,Yes,No,No,90.45,No
Male,No,No,No,69,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,97.65,No
Female,Yes,No,No,3,Fiber optic,No,No,Yes,No,No,No,73.85,No
Male,No,No,No,4,DSL,No,No,Yes,Yes,Yes,Yes,74.4,Yes
Male,Yes,No,No,30,DSL,No,No,Yes,Yes,Yes,Yes,69.1,No
Female,No,No,No,5,Fiber optic,No,No,Yes,Yes,No,Yes,82.75,No
Female,No,No,No,29,DSL,No,Yes,No,No,No,Yes,55.25,No
Male,No,Yes,No,52,DSL,No,Yes,No,Yes,No,No,61.35,No
Male,No,No,No,68,DSL,Yes,Yes,Yes,No,No,No,76.75,No
Male,No,No,No,8,DSL,No,No,No,No,No,Yes,54.75,No
Male,No,No,No,3,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,107.95,No
Female,Yes,No,No,2,Fiber optic,No,Yes,No,No,Yes,Yes,83.8,No
Female,No,No,No,9,Fiber optic,Yes,No,No,No,No,Yes,74.25,Yes
Female,No,No,No,51,DSL,No,Yes,Yes,No,Yes,Yes,56.4,No
Female,No,Yes,No,3,Fiber optic,No,No,No,No,Yes,No,94.9,No
Female,Yes,No,No,17,Fiber optic,No,No,No,No,Yes,Yes,94.2,No
Male,No,Yes,No,30,DSL,No,No,No,No,No,No,49.9,No
Male,No,No,No,31,DSL,No,Yes,No,Yes,Yes,Yes,71.05,No
Female,No,No,No,45,DSL,Yes,No,Yes,Yes,Yes,No,81.65,No
Male,No,Yes,No,64,Fiber optic,Yes,Yes,Yes,No,No,No,89.45,No
Male,No,No,No,1,DSL,No,No,No,No,Yes,Yes,59.85,Yes
Female,Yes,No,No,1,Fiber optic,No,No,No,No,No,Yes,69.6,Yes
Male,Yes,Yes,Yes,61,Fiber optic,No,Yes,No,No,Yes,No,99.0,No
Male,No,No,No,9,DSL,No,No,No,No,Yes,Yes,45.4,Yes
Male,No,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,114.45,No
Female,No,Yes,No,7,DSL,No,No,No,No,No,Yes,44.25,No
Female,No,Yes,No,66,Fiber optic,No,Yes,Yes,Yes,No,Yes,90.55,No
Male,No,No,No,1,Fiber optic,No,No,No,No,No,Yes,69.9,Yes
Male,No,No,No,16,DSL,No,Yes,Yes,No,No,Yes,71.4,No
Female,No,No,No,2,Fiber optic,No,Yes,No,No,Yes,Yes,87.15,Yes
Female,No,Yes,No,41,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,104.45,No
Female,No,No,No,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,116.45,No
Female,No,Yes,Yes,3,Fiber optic,No,No,No,No,No,Yes,84.75,Yes
Male,Yes,No,No,52,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,110.75,No
Female,No,No,No,50,Fiber optic,No,No,Yes,Yes,No,Yes,89.7,No
Male,No,No,No,14,Fiber optic,No,No,No,Yes,Yes,Yes,89.95,Yes
Male,No,Yes,No,27,DSL,Yes,No,No,No,No,No,48.7,No
Female,Yes,Yes,No,72,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,96.6,No
Male,No,No,No,62,DSL,Yes,Yes,No,No,Yes,Yes,74.3,No
Female,No,No,No,12,DSL,No,Yes,No,Yes,No,Yes,54.3,No
Female,Yes,No,No,44,DSL,No,No,Yes,Yes,Yes,No,74.85,No
Male,No,Yes,Yes,54,Fiber optic,No,Yes,No,Yes,No,Yes,79.95,No
Male,No,Yes,Yes,50,DSL,No,No,Yes,No,No,No,54.9,No
Male,No,Yes,Yes,35,Fiber optic,No,Yes,No,No,Yes,Yes,89.65,No
Female,No,No,No,2,DSL,No,No,No,No,No,Yes,45.4,No
Male,No,Yes,Yes,63,DSL,Yes,No,Yes,Yes,No,No,75.7,No
Female,No,Yes,No,58,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,110.65,No
Female,No,Yes,No,71,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,115.15,No
Female,No,No,No,63,DSL,No,No,Yes,No,No,No,58.55,No
Male,No,Yes,No,71,Fiber optic,No,Yes,Yes,No,No,Yes,93.25,No
Female,Yes,No,No,41,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,113.2,Yes
Male,Yes,No,No,13,Fiber optic,No,No,No,No,Yes,Yes,90.5,Yes
Male,No,No,No,2,Fiber optic,No,No,No,No,Yes,No,79.0,Yes
Male,No,Yes,Yes,1,DSL,Yes,No,No,No,No,Yes,48.75,No
Male,Yes,No,No,65,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,109.05,No
Female,No,No,No,28,DSL,No,No,No,Yes,No,Yes,54.9,No
Female,No,No,No,2,Fiber optic,Yes,Yes,No,No,Yes,Yes,91.15,No
Male,Yes,Yes,No,60,Fiber optic,No,Yes,Yes,No,Yes,Yes,104.35,No
Female,Yes,No,No,26,DSL,No,No,No,Yes,No,Yes,66.05,No
Male,No,No,Yes,1,Fiber optic,No,No,No,No,No,Yes,71.65,Yes
Male,No,Yes,Yes,68,DSL,Yes,Yes,Yes,Yes,Yes,Yes,92.2,No
Female,No,No,No,38,Fiber optic,No,Yes,Yes,Yes,No,Yes,84.25,Yes
Female,Yes,Yes,No,42,Fiber optic,Yes,No,Yes,No,Yes,Yes,105.2,No
Male,No,Yes,No,54,DSL,No,Yes,No,No,No,No,30.4,No
Female,No,No,No,12,Fiber optic,No,No,No,No,No,No,78.1,Yes
Female,No,Yes,No,44,DSL,Yes,Yes,Yes,No,No,Yes,61.5,No
Male,No,Yes,Yes,42,DSL,Yes,Yes,No,No,Yes,Yes,69.4,No
Female,No,Yes,Yes,71,DSL,Yes,Yes,Yes,Yes,Yes,No,91.05,No
Female,No,Yes,No,19,Fiber optic,No,No,Yes,No,No,No,89.65,Yes
Female,No,Yes,No,23,DSL,No,No,No,Yes,Yes,Yes,73.65,No
Female,No,No,No,10,Fiber optic,Yes,No,No,No,Yes,Yes,98.7,Yes
Male,No,No,No,1,DSL,No,No,No,No,No,Yes,43.85,No
Male,No,No,No,22,Fiber optic,No,No,No,No,No,Yes,69.7,No
Male,No,Yes,Yes,7,DSL,Yes,Yes,Yes,No,No,No,38.55,No
Female,No,No,No,36,DSL,Yes,Yes,Yes,Yes,No,Yes,53.1,No
Male,No,Yes,Yes,72,DSL,Yes,Yes,Yes,No,No,No,64.45,No
Female,No,No,No,1,Fiber optic,No,No,Yes,No,No,No,76.35,Yes
Female,No,No,No,23,Fiber optic,No,Yes,No,No,No,Yes,79.15,Yes
Male,Yes,Yes,No,32,Fiber optic,No,No,No,No,No,Yes,85.0,Yes
Female,No,Yes,Yes,71,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,95.15,No
Female,Yes,No,No,23,Fiber optic,No,No,Yes,No,No,Yes,79.35,No
Male,No,Yes,No,17,Fiber optic,No,No,Yes,No,Yes,Yes,96.65,No
Male,No,No,No,1,DSL,No,No,Yes,Yes,Yes,Yes,75.5,No
Male,Yes,Yes,No,72,Fiber optic,No,Yes,No,No,Yes,No,98.35,No
Male,No,Yes,Yes,60,Fiber optic,No,No,No,No,No,No,74.35,No
Female,No,Yes,Yes,61,DSL,No,Yes,Yes,Yes,Yes,No,51.35,No
Female,No,Yes,No,6,DSL,No,No,No,No,No,No,45.65,No
Male,Yes,Yes,No,32,Fiber optic,No,No,No,No,No,No,85.3,Yes
Female,No,No,Yes,31,Fiber optic,No,No,No,No,Yes,Yes,86.55,Yes
Male,No,No,No,19,Fiber optic,No,Yes,No,No,No,Yes,73.85,Yes
Female,No,No,No,32,DSL,No,Yes,No,No,No,Yes,54.2,No
Male,No,Yes,No,65,Fiber optic,No,Yes,No,No,No,Yes,90.65,No
Female,No,Yes,Yes,45,DSL,Yes,No,No,No,Yes,Yes,50.9,No
Male,No,No,No,8,Fiber optic,No,No,No,No,No,Yes,74.85,No
Female,Yes,Yes,No,22,DSL,Yes,Yes,No,Yes,No,Yes,63.55,No
Male,Yes,Yes,No,57,DSL,No,No,No,No,Yes,Yes,44.85,Yes
Male,No,No,No,1,DSL,Yes,No,No,No,No,No,47.95,No
Male,Yes,No,No,1,DSL,No,No,No,No,No,No,45.1,Yes
Female,No,Yes,No,1,DSL,No,No,No,No,No,Yes,45.0,No
Male,No,No,No,24,Fiber optic,No,No,No,Yes,Yes,Yes,96.0,Yes
Male,Yes,No,No,54,Fiber optic,No,Yes,No,No,No,Yes,90.05,No
Male,No,Yes,Yes,65,Fiber optic,Yes,No,Yes,Yes,Yes,No,108.65,Yes
Male,No,No,No,45,DSL,Yes,No,Yes,No,Yes,Yes,75.95,No
Male,No,Yes,No,59,DSL,Yes,Yes,Yes,No,Yes,No,66.4,No
Male,No,No,No,69,DSL,No,Yes,Yes,No,No,Yes,35.75,No
Male,No,No,No,10,DSL,No,No,No,No,No,Yes,45.55,Yes
Female,Yes,Yes,No,47,DSL,Yes,Yes,Yes,No,No,Yes,67.45,No
Female,No,Yes,No,2,DSL,No,No,No,No,No,Yes,35.1,Yes
Male,No,No,No,1,DSL,No,No,No,No,No,No,46.2,Yes
Female,No,No,No,1,DSL,No,No,No,No,No,No,45.15,Yes
Male,Yes,No,No,1,DSL,No,Yes,Yes,No,No,Yes,43.3,Yes
Female,Yes,No,No,38,DSL,Yes,Yes,No,No,No,Yes,57.15,Yes
Female,No,Yes,No,65,DSL,Yes,No,Yes,Yes,No,No,58.9,No
Female,No,Yes,No,19,Fiber optic,Yes,No,No,No,No,Yes,73.2,Yes
Male,No,No,No,52,Fiber optic,No,Yes,No,No,No,Yes,85.35,Yes
Female,No,No,No,1,DSL,No,No,No,No,No,No,45.95,Yes
Female,Yes,No,No,52,DSL,No,Yes,Yes,Yes,Yes,Yes,50.5,No
Female,Yes,Yes,No,26,DSL,No,No,Yes,No,No,No,60.7,No
Male,Yes,No,No,48,Fiber optic,No,Yes,No,No,Yes,Yes,99.0,No
Female,No,Yes,Yes,64,Fiber optic,Yes,No,No,Yes,Yes,Yes,104.4,No
Female,No,No,No,3,Fiber optic,No,Yes,No,No,Yes,No,83.75,Yes
Male,No,No,No,1,DSL,No,No,No,No,No,Yes,44.05,No
Male,No,No,No,1,DSL,No,No,No,No,No,Yes,45.55,No
Female,No,Yes,Yes,51,Fiber optic,Yes,Yes,No,No,No,Yes,93.8,No
Female,No,Yes,Yes,72,DSL,Yes,Yes,Yes,No,Yes,Yes,70.65,No
Female,No,Yes,No,43,DSL,Yes,Yes,No,Yes,Yes,No,86.45,No
Male,No,Yes,No,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,114.1,No
Male,No,Yes,No,47,Fiber optic,No,No,No,No,Yes,Yes,95.2,No
Male,No,No,No,72,DSL,Yes,Yes,Yes,Yes,Yes,No,88.55,No
Male,No,No,No,1,Fiber optic,No,No,No,No,No,Yes,70.05,Yes
Male,No,No,No,2,Fiber optic,No,No,No,No,No,Yes,86.0,Yes
Male,No,No,No,26,DSL,Yes,Yes,No,No,No,Yes,44.65,No
Male,No,Yes,Yes,29,DSL,Yes,No,No,No,No,Yes,60.2,No
Female,Yes,Yes,No,35,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,100.5,Yes
Male,No,No,No,27,DSL,Yes,Yes,No,No,No,No,55.45,No
Male,No,Yes,Yes,24,DSL,Yes,Yes,No,Yes,No,Yes,70.3,No
Male,No,Yes,Yes,67,DSL,Yes,No,Yes,Yes,No,Yes,60.4,No
Female,No,No,No,16,Fiber optic,No,No,No,No,No,No,72.65,Yes
Female,No,No,No,23,DSL,No,Yes,Yes,No,No,No,55.8,No
Male,No,No,No,14,DSL,No,Yes,No,No,No,Yes,31.1,No
Female,Yes,No,No,1,DSL,No,No,No,No,No,No,45.1,Yes
Male,Yes,No,No,4,DSL,No,Yes,No,No,Yes,Yes,50.95,No
Male,No,No,Yes,16,DSL,Yes,Yes,No,No,No,Yes,69.1,No
Female,No,Yes,No,46,DSL,No,No,No,No,Yes,Yes,43.95,No
Male,No,No,Yes,68,DSL,Yes,Yes,No,Yes,Yes,Yes,86.5,No
Male,No,No,No,38,DSL,Yes,Yes,Yes,Yes,No,No,69.95,No
Male,Yes,Yes,No,30,DSL,No,Yes,No,No,No,Yes,50.4,Yes
Female,Yes,No,No,5,Fiber optic,No,No,No,No,No,No,78.95,Yes
Male,No,No,No,17,Fiber optic,No,Yes,Yes,No,No,Yes,90.95,No
Male,No,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,90.6,No
Male,No,No,No,3,Fiber optic,No,No,No,No,Yes,Yes,92.0,No
Male,No,No,No,56,Fiber optic,No,Yes,No,Yes,No,Yes,94.45,Yes
Male,No,No,No,40,DSL,No,Yes,No,Yes,No,No,36.0,No
Female,No,No,No,7,DSL,Yes,Yes,No,Yes,Yes,Yes,78.5,No
Female,No,Yes,Yes,5,DSL,No,Yes,No,No,No,Yes,30.5,No
Female,No,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,106.1,No
Female,No,No,No,65,Fiber optic,No,Yes,Yes,No,Yes,Yes,95.5,No
Female,No,No,No,3,DSL,No,No,No,Yes,Yes,No,64.6,No
Male,No,No,No,24,DSL,No,No,No,Yes,No,Yes,51.1,No
Female,No,No,No,44,Fiber optic,No,Yes,Yes,No,No,Yes,84.8,Yes
Female,Yes,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Yes,No,89.1,No
Male,No,No,No,24,DSL,Yes,No,No,Yes,No,No,54.95,No
Male,No,No,No,1,DSL,No,No,Yes,No,No,No,50.9,Yes
Male,No,Yes,Yes,70,DSL,No,Yes,Yes,Yes,Yes,Yes,85.95,No
Male,No,Yes,Yes,25,DSL,No,No,No,No,Yes,No,60.35,No
Female,Yes,Yes,Yes,22,Fiber optic,No,No,No,No,Yes,No,85.35,No
Female,No,Yes,Yes,59,DSL,No,No,Yes,Yes,Yes,Yes,72.1,No
Male,No,Yes,Yes,49,Fiber optic,No,No,Yes,No,Yes,Yes,99.8,Yes
Male,No,Yes,Yes,47,Fiber optic,No,No,Yes,Yes,Yes,Yes,107.35,Yes
Male,No,Yes,Yes,1,Fiber optic,No,No,No,No,No,Yes,81.05,No
Female,No,Yes,No,53,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,111.8,No
Female,No,No,No,3,Fiber optic,Yes,Yes,No,No,No,Yes,79.1,Yes
Female,No,Yes,No,51,DSL,Yes,Yes,No,Yes,No,Yes,60.5,No
Male,No,No,No,63,DSL,Yes,Yes,Yes,Yes,No,No,71.5,No
Male,No,No,No,3,DSL,No,No,No,No,No,No,54.65,No
Male,No,No,No,1,DSL,No,No,No,No,No,Yes,49.8,No
Male,No,No,Yes,8,DSL,No,No,No,No,No,No,25.5,Yes
Male,No,Yes,Yes,55,Fiber optic,No,No,Yes,No,Yes,Yes,90.4,No
Female,No,No,No,70,Fiber optic,No,Yes,Yes,Yes,No,Yes,90.25,No
Female,No,No,No,2,Fiber optic,No,No,No,No,No,No,80.75,Yes
Male,No,Yes,Yes,67,Fiber optic,Yes,No,No,Yes,Yes,No,104.6,No
Male,No,Yes,No,65,Fiber optic,No,Yes,No,No,Yes,Yes,91.85,Yes
Male,No,Yes,No,14,DSL,No,No,Yes,No,No,No,50.2,No
Female,No,Yes,Yes,20,Fiber optic,No,No,Yes,Yes,No,Yes,95.5,No
Male,No,No,Yes,1,Fiber optic,No,Yes,No,No,No,Yes,75.35,Yes
Male,No,No,No,1,Fiber optic,No,No,No,No,No,Yes,75.45,Yes
Female,No,Yes,Yes,49,Fiber optic,No,No,No,No,Yes,Yes,95.4,No
Female,No,No,No,72,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,101.3,No
Female,No,Yes,No,46,DSL,Yes,No,No,No,No,No,53.1,No
Male,No,No,No,24,Fiber optic,No,Yes,Yes,No,No,Yes,84.85,No
Female,No,Yes,Yes,5,DSL,No,Yes,No,Yes,No,No,34.25,No
Female,No,Yes,Yes,33,Fiber optic,No,Yes,Yes,Yes,No,No,88.6,No
Female,No,No,No,42,DSL,Yes,Yes,No,No,No,Yes,60.15,No
Male,No,No,No,23,Fiber optic,Yes,No,Yes,No,Yes,Yes,99.95,No
Male,No,No,No,8,Fiber optic,No,No,No,No,No,No,70.7,No
Male,No,No,No,66,DSL,Yes,Yes,No,No,No,Yes,54.8,No
Male,No,No,No,24,DSL,Yes,No,No,No,No,Yes,49.55,Yes
Male,Yes,No,No,24,DSL,No,Yes,No,No,No,No,54.8,No
Male,No,No,No,69,DSL,Yes,Yes,Yes,Yes,No,Yes,78.6,Yes
Female,No,No,No,53,Fiber optic,No,Yes,Yes,No,Yes,Yes,100.3,No
Female,No,No,No,60,DSL,Yes,No,Yes,No,Yes,No,53.6,No
Female,No,Yes,No,7,Fiber optic,No,No,No,No,Yes,Yes,81.1,Yes
Female,No,Yes,Yes,23,Fiber optic,No,No,No,No,No,No,85.6,No
Male,No,Yes,Yes,72,DSL,Yes,No,Yes,Yes,Yes,Yes,80.8,No
Male,No,Yes,No,11,Fiber optic,No,No,No,No,No,Yes,74.95,Yes
Male,Yes,No,No,1,Fiber optic,No,No,No,No,Yes,Yes,93.55,Yes
Male,Yes,No,No,31,Fiber optic,No,Yes,No,No,Yes,Yes,90.7,No
Female,No,No,No,57,DSL,No,Yes,Yes,Yes,Yes,No,69.75,No
Male,No,No,No,10,Fiber optic,No,Yes,Yes,No,No,Yes,95.25,No
Female,No,Yes,No,58,Fiber optic,No,No,Yes,Yes,Yes,Yes,102.1,Yes
Male,No,Yes,No,27,DSL,Yes,No,No,Yes,Yes,No,80.85,No
Female,No,Yes,Yes,14,Fiber optic,No,Yes,No,No,No,Yes,90.9,Yes
Female,No,Yes,Yes,12,DSL,No,Yes,No,No,No,No,29.2,Yes
Female,No,Yes,Yes,69,Fiber optic,No,Yes,No,Yes,No,Yes,93.3,No
Female,No,Yes,Yes,25,Fiber optic,No,Yes,Yes,No,Yes,Yes,89.15,Yes
Male,Yes,Yes,No,58,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,108.85,Yes
Female,No,Yes,Yes,35,DSL,Yes,No,No,Yes,Yes,Yes,46.35,No
Female,Yes,No,No,16,Fiber optic,No,No,No,No,Yes,Yes,84.75,Yes
Male,No,Yes,Yes,45,DSL,No,Yes,Yes,No,Yes,No,78.75,No
Female,No,No,No,17,Fiber optic,No,Yes,No,No,Yes,Yes,83.55,No
Female,No,Yes,Yes,1,DSL,No,No,No,No,No,Yes,45.7,Yes
Female,Yes,No,No,1,Fiber optic,No,No,No,No,No,Yes,69.95,Yes
Male,No,Yes,Yes,67,DSL,Yes,No,Yes,Yes,No,No,67.85,No
Female,No,Yes,Yes,67,Fiber optic,No,No,Yes,Yes,Yes,Yes,105.65,No
Female,No,Yes,No,2,DSL,No,No,No,No,Yes,No,44.6,Yes
Male,No,No,No,23,Fiber optic,No,No,No,No,No,Yes,74.95,Yes
Female,Yes,No,No,9,Fiber optic,No,No,Yes,No,No,No,75.5,No
Male,No,No,No,54,DSL,Yes,No,No,Yes,Yes,No,45.2,No
Female,No,No,No,57,Fiber optic,No,No,Yes,No,Yes,Yes,95.25,Yes
Male,No,No,No,24,Fiber optic,No,No,Yes,No,Yes,Yes,89.85,Yes
Female,No,Yes,Yes,49,Fiber optic,No,Yes,No,No,Yes,No,100.45,Yes
Male,No,No,No,5,DSL,No,No,No,No,No,No,47.15,Yes
Male,No,No,No,2,Fiber optic,No,No,No,No,No,Yes,80.2,Yes
Female,No,No,Yes,4,Fiber optic,No,No,Yes,Yes,No,Yes,87.1,Yes
Male,No,Yes,Yes,70,DSL,Yes,Yes,Yes,Yes,Yes,Yes,79.25,No
Male,No,No,No,5,Fiber optic,No,No,No,No,No,Yes,75.9,Yes
Male,No,Yes,Yes,53,DSL,Yes,No,Yes,Yes,Yes,No,85.7,No
Female,No,Yes,No,47,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,98.75,Yes
Male,No,Yes,Yes,13,DSL,No,Yes,Yes,Yes,No,No,61.8,No
Female,No,Yes,Yes,28,DSL,No,No,No,No,No,No,49.9,No
Female,No,No,No,10,Fiber optic,No,No,No,No,No,No,86.45,Yes
Female,No,No,No,1,DSL,No,No,No,No,No,Yes,45.3,Yes
Male,No,Yes,No,67,Fiber optic,No,Yes,Yes,No,Yes,No,104.1,Yes
Male,No,Yes,No,52,DSL,Yes,Yes,No,No,Yes,Yes,75.4,No
Male,No,Yes,Yes,62,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,108.15,No
Female,No,No,No,16,Fiber optic,No,Yes,No,No,No,Yes,86.25,No
Female,Yes,Yes,No,5,Fiber optic,No,Yes,No,No,No,Yes,81.0,Yes
Male,No,No,No,12,Fiber optic,No,No,Yes,No,Yes,No,95.7,No
Female,No,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,116.85,No
Male,Yes,No,No,71,Fiber optic,No,Yes,No,Yes,Yes,No,105.75,No
Male,No,Yes,No,67,Fiber optic,Yes,Yes,No,No,No,Yes,90.6,Yes
Male,No,No,Yes,2,DSL,Yes,Yes,No,No,No,No,60.95,No
Female,No,Yes,Yes,5,DSL,No,No,No,No,No,No,25.05,No
Female,No,Yes,No,15,Fiber optic,No,No,No,No,Yes,No,88.15,Yes
Male,No,Yes,Yes,41,DSL,Yes,Yes,Yes,No,No,Yes,60.3,No
Female,No,No,Yes,43,DSL,Yes,Yes,No,No,No,Yes,63.95,No
Male,Yes,Yes,No,1,Fiber optic,No,No,No,No,No,No,74.3,No
Female,Yes,No,No,1,Fiber optic,No,No,No,No,No,Yes,70.6,No
Female,No,Yes,Yes,26,Fiber optic,No,No,No,No,Yes,Yes,90.8,Yes
Male,No,No,No,22,Fiber optic,No,Yes,No,No,No,Yes,79.35,Yes
Male,No,Yes,No,71,DSL,Yes,Yes,Yes,Yes,Yes,No,90.55,No
Female,Yes,No,No,28,DSL,No,Yes,Yes,Yes,No,No,64.45,No
Male,Yes,No,No,16,Fiber optic,No,No,No,No,No,No,69.65,No
Female,No,No,No,69,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,110.5,No
Female,No,No,Yes,1,DSL,No,No,No,No,No,No,24.7,No
Male,No,No,No,3,DSL,Yes,No,Yes,No,Yes,Yes,77.4,No
Male,Yes,No,No,21,Fiber optic,No,No,Yes,No,Yes,Yes,96.8,Yes
Female,No,Yes,No,69,Fiber optic,No,Yes,Yes,No,No,Yes,85.4,No
Female,No,Yes,No,71,DSL,Yes,Yes,Yes,Yes,No,Yes,47.6,No
Female,No,No,No,48,Fiber optic,No,No,Yes,Yes,Yes,Yes,103.85,No
Male,No,Yes,No,47,Fiber optic,No,Yes,Yes,No,No,Yes,83.35,Yes
Female,No,No,No,2,DSL,No,No,No,No,No,Yes,49.4,Yes
Male,No,No,No,45,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,108.45,No
Male,No,No,No,51,Fiber optic,No,Yes,No,No,No,No,81.0,No
Female,No,Yes,No,22,DSL,Yes,No,No,Yes,Yes,Yes,79.2,Yes
Male,No,No,No,72,DSL,Yes,Yes,Yes,Yes,Yes,No,86.65,No
Male,No,Yes,Yes,37,Fiber optic,No,Yes,Yes,No,Yes,Yes,92.95,No
Male,No,Yes,Yes,71,DSL,Yes,Yes,Yes,Yes,Yes,No,90.35,No
Male,No,Yes,Yes,7,DSL,No,No,Yes,No,No,No,48.7,Yes
Male,No,Yes,Yes,51,DSL,Yes,No,No,Yes,Yes,Yes,76.4,No
Female,No,No,No,34,Fiber optic,No,No,No,No,Yes,No,85.35,No
Male,Yes,Yes,No,65,Fiber optic,No,Yes,Yes,No,Yes,Yes,103.15,No
Male,No,No,No,47,Fiber optic,Yes,Yes,No,Yes,Yes,No,100.75,No
Female,No,No,No,1,Fiber optic,Yes,No,No,No,Yes,Yes,95.6,Yes
Female,No,No,No,49,DSL,Yes,Yes,No,No,No,Yes,59.75,Yes
Female,No,Yes,Yes,67,Fiber optic,No,Yes,No,Yes,Yes,No,94.1,No
Female,Yes,No,No,43,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,108.15,Yes
Male,Yes,No,No,56,Fiber optic,No,No,Yes,No,Yes,Yes,101.05,No
Female,No,No,No,14,DSL,No,No,No,Yes,No,No,59.1,No
Female,No,No,No,1,Fiber optic,No,No,No,No,No,No,71.35,Yes
Male,No,Yes,Yes,16,DSL,Yes,Yes,No,No,No,Yes,55.85,No
Male,No,Yes,Yes,70,Fiber optic,Yes,Yes,No,No,Yes,Yes,106.05,No
Male,Yes,Yes,No,72,DSL,Yes,Yes,Yes,No,Yes,Yes,84.1,No
Female,No,Yes,Yes,23,Fiber optic,No,No,Yes,No,No,Yes,75.3,No
Male,No,No,Yes,1,Fiber optic,No,No,No,No,No,No,69.75,Yes
Female,Yes,Yes,No,32,Fiber optic,No,No,No,No,Yes,Yes,93.2,Yes
Male,No,Yes,Yes,17,Fiber optic,No,No,No,No,Yes,No,80.85,Yes
Female,No,No,No,4,DSL,Yes,Yes,No,No,No,Yes,33.65,Yes
Female,No,No,No,36,DSL,No,No,Yes,No,No,No,55.8,No
Female,No,No,No,50,DSL,No,Yes,Yes,Yes,No,No,39.7,No
Female,No,Yes,Yes,48,DSL,No,No,No,Yes,No,Yes,29.5,No
Male,No,Yes,No,72,DSL,Yes,Yes,Yes,Yes,No,No,79.55,No
Male,No,No,No,1,Fiber optic,No,No,No,No,Yes,Yes,79.95,Yes
Male,No,No,No,9,Fiber optic,No,No,Yes,No,Yes,Yes,94.05,No
Male,No,No,No,2,Fiber optic,Yes,No,No,No,No,No,90.75,No
Female,No,Yes,No,40,Fiber optic,No,No,No,Yes,No,Yes,78.85,No
Male,No,Yes,No,69,Fiber optic,No,No,Yes,No,Yes,No,99.5,No
Female,No,Yes,No,37,Fiber optic,Yes,No,Yes,Yes,No,Yes,99.2,Yes
Male,No,No,Yes,18,Fiber optic,No,No,Yes,No,No,Yes,80.55,No
Male,Yes,Yes,No,11,Fiber optic,No,No,No,No,No,Yes,70.2,No
Female,No,Yes,No,8,Fiber optic,No,No,No,No,No,Yes,85.2,Yes
Female,No,No,No,3,Fiber optic,No,No,No,No,No,No,75.25,Yes
Male,No,Yes,Yes,55,DSL,Yes,No,No,No,No,No,59.45,No
Male,No,Yes,No,33,Fiber optic,No,Yes,Yes,No,No,Yes,93.35,No
Female,No,No,No,46,DSL,No,No,No,No,No,No,44.95,No
Female,No,No,No,33,DSL,Yes,No,No,Yes,No,No,59.4,No
Male,No,Yes,Yes,45,Fiber optic,No,Yes,Yes,No,No,Yes,95.0,No
Male,No,No,No,40,DSL,Yes,Yes,No,Yes,No,Yes,61.9,No
Female,No,No,No,71,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,118.65,No
Male,No,No,No,1,DSL,No,No,Yes,No,No,No,54.35,Yes
Female,No,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Yes,No,64.45,No
Female,No,Yes,Yes,22,Fiber optic,No,No,No,No,No,Yes,80.15,No
Female,No,No,No,12,DSL,No,No,No,Yes,Yes,Yes,75.85,No
Male,No,No,No,31,Fiber optic,No,Yes,No,No,No,Yes,80.45,No
Male,No,Yes,No,5,DSL,No,No,No,No,No,Yes,24.95,Yes
Female,No,Yes,Yes,67,DSL,Yes,No,No,No,Yes,Yes,75.5,No
Male,No,No,No,1,DSL,No,No,No,No,No,No,44.45,No
